Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
Min-Min,20.0000,271,1436,11,13.9811,14.0811,30.1658,16.0847,0.1000
Min-Min,20.0000,188,2464,15,9.4412,9.5412,30.5481,21.0069,0.1000
Min-Min,20.0000,62,4932,17,3.0977,3.1977,31.6420,28.4443,0.1000
Min-Min,20.0000,88,4161,19,4.4208,4.5208,32.0360,27.5152,0.1000
Min-Min,20.0000,96,4477,7,4.6613,4.7613,33.1787,28.4174,0.1000
Min-Min,20.0000,355,1381,17,18.1582,18.2582,33.4989,15.2408,0.1000
Min-Min,20.0000,90,4182,1,4.4599,4.5599,33.6089,29.0490,0.1000
Min-Min,20.0000,36,6096,12,1.9191,2.0191,33.6089,31.5899,0.1000
Min-Min,20.0000,219,2395,5,11.1049,11.2049,33.7189,22.5140,0.1000
Min-Min,20.0000,126,3573,16,6.3133,6.4133,34.0388,27.6255,0.1000
Min-Min,20.0000,371,1335,7,18.6662,18.7662,34.6825,15.9163,0.1000
Min-Min,20.0000,73,5179,7,3.4460,3.5460,34.7915,31.2455,0.1000
Min-Min,20.0000,248,2477,13,12.5077,12.6077,34.8982,22.2906,0.1000
Min-Min,20.0000,353,1421,5,18.0812,18.1812,35.0082,16.8270,0.1000
Min-Min,20.0000,77,4853,10,3.6895,3.7895,35.2247,31.4352,0.1000
Min-Min,20.0000,299,2169,3,15.3436,15.4436,35.2247,19.7811,0.1000
Min-Min,20.0000,51,5843,7,2.5068,2.6068,35.5547,32.9479,0.1000
Min-Min,20.0000,273,2073,17,14.1993,14.2993,35.7712,21.4719,0.1000
Min-Min,20.0000,304,1762,8,15.8055,15.9055,35.9912,20.0857,0.1000
Min-Min,20.0000,237,2423,2,11.6366,11.7366,36.4617,24.7251,0.1000
Min-Min,20.0000,339,1565,2,17.3325,17.4325,36.4617,19.0292,0.1000
Min-Min,20.0000,234,2528,0,11.5125,11.6125,37.2934,25.6809,0.1000
Min-Min,20.0000,396,1183,11,19.7997,19.8997,37.7701,17.8704,0.1000
Min-Min,20.0000,165,3649,13,8.2236,8.3236,37.9819,29.6583,0.1000
Min-Min,20.0000,249,2554,14,12.5154,12.6154,38.0919,25.4765,0.1000
Min-Min,20.0000,411,1278,10,20.6008,20.7008,38.5261,17.8252,0.1000
Min-Min,20.0000,303,2039,7,15.5820,15.6820,38.5261,22.8440,0.1000
Min-Min,20.0000,419,1265,18,21.1717,21.2717,38.8494,17.5777,0.1000
Min-Min,20.0000,192,2866,19,9.7077,9.8077,39.1952,29.3874,0.1000
Min-Min,20.0000,79,5105,12,3.8150,3.9150,39.4110,35.4960,0.1000
Min-Min,20.0000,145,3863,14,7.5801,7.6801,39.5210,31.8409,0.1000
Min-Min,20.0000,487,1003,18,24.4324,24.5324,40.0071,15.4747,0.1000
Min-Min,20.0000,470,1198,9,23.8731,23.9731,40.6052,16.6321,0.1000
Min-Min,20.0000,349,1889,12,17.9210,18.0210,42.6245,24.6035,0.1000
Min-Min,20.0000,514,1115,12,25.7609,25.8609,42.6245,16.7636,0.1000
Min-Min,20.0000,156,3636,5,7.8730,7.9730,42.7345,34.7615,0.1000
Min-Min,20.0000,110,4571,0,5.3871,5.4871,43.0870,37.5999,0.1000
Min-Min,20.0000,10,8162,8,0.6013,0.7013,43.5185,42.8172,0.1000
Min-Min,20.0000,362,2209,3,18.4061,18.5061,43.7385,25.2324,0.1000
Min-Min,20.0000,38,7502,14,1.9781,2.0781,44.5280,42.4499,0.1000
Min-Min,20.0000,23,7316,0,1.1566,1.2566,44.9592,43.7026,0.1000
Min-Min,20.0000,549,1065,9,27.8593,27.9593,44.9592,16.9999,0.1000
Min-Min,20.0000,310,2408,14,15.9764,16.0764,45.4579,29.3815,0.1000
Min-Min,20.0000,152,3680,1,7.8368,7.9368,45.5679,37.6311,0.1000
Min-Min,20.0000,274,2598,18,14.2088,14.3088,46.4312,32.1225,0.1000
Min-Min,20.0000,342,2139,5,17.5261,17.6261,46.7778,29.1516,0.1000
Min-Min,20.0000,416,1741,15,21.0304,21.1304,46.9978,25.8673,0.1000
Min-Min,20.0000,55,5086,11,2.6514,2.7514,47.6835,44.9321,0.1000
Min-Min,20.0000,67,5289,2,3.3181,3.4181,48.0170,44.5989,0.1000
Min-Min,20.0000,53,6271,9,2.5859,2.6859,48.6057,45.9198,0.1000
Min-Min,20.0000,54,6222,10,2.6283,2.7283,49.1175,46.3892,0.1000
Min-Min,20.0000,290,2778,14,14.7447,14.8447,49.3375,34.4928,0.1000
Min-Min,20.0000,347,2089,10,17.8902,17.9902,49.5575,31.5673,0.1000
Min-Min,20.0000,159,4257,7,8.0236,8.1236,50.6440,42.5203,0.1000
Min-Min,20.0000,225,2842,11,11.2886,11.3886,51.1061,39.7176,0.1000
Min-Min,20.0000,409,1962,8,20.5428,20.6428,51.3261,30.6834,0.1000
Min-Min,20.0000,323,2536,7,16.7575,16.8575,51.8110,34.9535,0.1000
Min-Min,20.0000,19,8184,16,0.9315,1.0315,52.1592,51.1277,0.1000
Min-Min,20.0000,484,1956,3,24.3446,24.4446,53.2817,28.8371,0.1000
Min-Min,20.0000,24,7344,1,1.1582,1.2582,53.3917,52.1335,0.1000
Min-Min,20.0000,480,1632,19,24.2189,24.3189,54.0585,29.7396,0.1000
Min-Min,20.0000,105,4892,15,5.1174,5.2174,55.2150,49.9977,0.1000
Min-Min,20.0000,439,1902,18,22.2790,22.3790,55.5432,33.1642,0.1000
Min-Min,20.0000,41,7144,17,2.1296,2.2296,55.6532,53.4236,0.1000
Min-Min,20.0000,582,1301,19,29.4265,29.5265,55.8660,26.3395,0.1000
Min-Min,20.0000,308,2796,12,15.8617,15.9617,56.2090,40.2473,0.1000
Min-Min,20.0000,80,6196,13,3.9273,4.0273,56.3190,52.2917,0.1000
Min-Min,20.0000,685,1056,0,34.6908,34.7908,56.4290,21.6382,0.1000
Min-Min,20.0000,453,2009,12,22.9745,23.0745,56.5309,33.4564,0.1000
Min-Min,20.0000,258,3733,3,12.9827,13.0827,56.5309,43.4482,0.1000
Min-Min,20.0000,475,1999,14,23.9840,24.0840,56.7493,32.6653,0.1000
Min-Min,20.0000,452,1679,11,22.9662,23.0662,57.2878,34.2216,0.1000
Min-Min,20.0000,622,1219,19,31.5235,31.6235,57.5078,25.8843,0.1000
Min-Min,20.0000,306,2677,10,15.8460,15.9460,57.7278,41.7818,0.1000
Min-Min,20.0000,330,2858,14,16.9536,17.0536,57.8378,40.7842,0.1000
Min-Min,20.0000,180,4315,7,8.9799,9.0799,58.4333,49.3534,0.1000
Min-Min,20.0000,272,2939,16,14.1505,14.2505,58.9458,44.6953,0.1000
Min-Min,20.0000,646,1209,19,32.7164,32.8164,59.0558,26.2394,0.1000
Min-Min,20.0000,730,1009,10,36.8308,36.9308,59.9020,22.9712,0.1000
Min-Min,20.0000,682,1026,11,34.4043,34.5043,59.9020,25.3977,0.1000
Min-Min,20.0000,312,2727,16,16.1291,16.2291,60.6160,44.3869,0.1000
Min-Min,20.0000,403,2391,2,20.0892,20.1892,61.7260,41.5368,0.1000
Min-Min,20.0000,720,1121,15,36.3722,36.4722,61.8360,25.3638,0.1000
Min-Min,20.0000,18,8340,15,0.8872,0.9872,61.9460,60.9588,0.1000
Min-Min,20.0000,287,2725,11,14.5692,14.6692,62.0560,47.3868,0.1000
Min-Min,20.0000,548,1755,6,27.7859,27.8859,62.1660,34.2801,0.1000
