Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,254,1640,14,12.7698,12.8698,27.2533,14.3835,0.1000
FCFS,20.0000,68,4872,8,3.3685,3.4685,27.2533,23.7848,0.1000
FCFS,20.0000,51,5843,11,2.5068,2.6068,27.8682,25.2615,0.1000
FCFS,20.0000,188,2464,8,9.4412,9.5412,28.2375,18.6963,0.1000
FCFS,20.0000,90,4182,10,4.4599,4.5599,29.3764,24.8164,0.1000
FCFS,20.0000,237,2423,17,11.6366,11.7366,29.4864,17.7498,0.1000
FCFS,20.0000,192,2866,12,9.7077,9.8077,29.5964,19.7886,0.1000
FCFS,20.0000,219,2395,19,11.1049,11.2049,30.4225,19.2176,0.1000
FCFS,20.0000,152,3680,12,7.8368,7.9368,32.8815,24.9447,0.1000
FCFS,20.0000,355,1381,15,18.1582,18.2582,33.6259,15.3677,0.1000
FCFS,20.0000,339,1565,19,17.3325,17.4325,34.0388,16.6062,0.1000
FCFS,20.0000,371,1335,11,18.6662,18.7662,34.1433,15.3771,0.1000
FCFS,20.0000,304,1762,4,15.8055,15.9055,34.5725,18.6670,0.1000
FCFS,20.0000,396,1183,16,19.7997,19.8997,35.2245,15.3247,0.1000
FCFS,20.0000,353,1421,13,18.0812,18.1812,35.9782,17.7970,0.1000
FCFS,20.0000,411,1278,11,20.6008,20.7008,36.5350,15.8342,0.1000
FCFS,20.0000,419,1265,19,21.1717,21.2717,36.7550,15.4833,0.1000
FCFS,20.0000,234,2528,14,11.5125,11.6125,36.8650,25.2525,0.1000
FCFS,20.0000,79,5105,19,3.8150,3.9150,37.0756,33.1605,0.1000
FCFS,20.0000,23,7316,3,1.1566,1.2566,37.5102,36.2536,0.1000
FCFS,20.0000,36,6096,16,1.9191,2.0191,37.7227,35.7036,0.1000
FCFS,20.0000,248,2477,8,12.5077,12.6077,37.9398,25.3321,0.1000
FCFS,20.0000,273,2073,13,14.1993,14.2993,38.4817,24.1824,0.1000
FCFS,20.0000,487,1003,7,24.4324,24.5324,38.4817,13.9493,0.1000
FCFS,20.0000,299,2169,19,15.3436,15.4436,38.6971,23.2535,0.1000
FCFS,20.0000,225,2842,5,11.2886,11.3886,39.5094,28.1208,0.1000
FCFS,20.0000,249,2554,9,12.5154,12.6154,39.7294,27.1140,0.1000
FCFS,20.0000,62,4932,2,3.0977,3.1977,39.8394,36.6417,0.1000
FCFS,20.0000,113,4123,13,5.5504,5.6504,40.0594,34.4090,0.1000
FCFS,20.0000,470,1198,10,23.8731,23.9731,40.1675,16.1944,0.1000
FCFS,20.0000,165,3649,5,8.2236,8.3236,40.3875,32.0639,0.1000
FCFS,20.0000,110,4571,10,5.3871,5.4871,40.9375,35.4505,0.1000
FCFS,20.0000,145,3863,5,7.5801,7.6801,41.0475,33.3674,0.1000
FCFS,20.0000,303,2039,3,15.5820,15.6820,41.6404,25.9583,0.1000
FCFS,20.0000,96,4477,16,4.6613,4.7613,41.7504,36.9890,0.1000
FCFS,20.0000,73,5179,13,3.4460,3.5460,42.3432,38.7973,0.1000
FCFS,20.0000,58,5537,18,2.8840,2.9840,42.4532,39.4693,0.1000
FCFS,20.0000,349,1889,9,17.9210,18.0210,42.4532,24.4322,0.1000
FCFS,20.0000,514,1115,14,25.7609,25.8609,43.1272,17.2662,0.1000
FCFS,20.0000,105,4892,5,5.1174,5.2174,43.7661,38.5487,0.1000
FCFS,20.0000,67,5289,7,3.3181,3.4181,44.3215,40.9033,0.1000
FCFS,20.0000,310,2408,10,15.9764,16.0764,44.5280,28.4516,0.1000
FCFS,20.0000,10,8162,10,0.6013,0.7013,45.3479,44.6466,0.1000
FCFS,20.0000,549,1065,9,27.8593,27.9593,45.8604,17.9011,0.1000
FCFS,20.0000,19,8184,19,0.9315,1.0315,45.9704,44.9389,0.1000
FCFS,20.0000,272,2939,12,14.1505,14.2505,46.6821,32.4316,0.1000
FCFS,20.0000,156,3636,16,7.8730,7.9730,46.6821,38.7091,0.1000
FCFS,20.0000,347,2089,7,17.8902,17.9902,46.8945,28.9043,0.1000
FCFS,20.0000,452,1679,12,22.9662,23.0662,47.0045,23.9382,0.1000
FCFS,20.0000,274,2598,14,14.2088,14.3088,47.0045,32.6957,0.1000
FCFS,20.0000,306,2677,6,15.8460,15.9460,47.1115,31.1655,0.1000
FCFS,20.0000,290,2778,10,14.7447,14.8447,48.0498,33.2051,0.1000
FCFS,20.0000,24,7344,4,1.1582,1.2582,48.6057,47.3475,0.1000
FCFS,20.0000,416,1741,16,21.0304,21.1304,48.6057,27.4753,0.1000
FCFS,20.0000,54,6222,14,2.6283,2.7283,49.2254,46.4971,0.1000
FCFS,20.0000,75,6537,15,3.5244,3.6244,49.3354,45.7110,0.1000
FCFS,20.0000,312,2727,12,16.1291,16.2291,49.9240,33.6949,0.1000
FCFS,20.0000,159,4257,19,8.0236,8.1236,49.9240,41.8004,0.1000
FCFS,20.0000,439,1902,19,22.2790,22.3790,50.2451,27.8661,0.1000
FCFS,20.0000,409,1962,9,20.5428,20.6428,50.3551,29.7123,0.1000
